"Saturday, 8 May 2021", Event                     , Scores
 8:30 am              , Division 3 Singles        , Groups Knockout
12:00 pm              , Division 4 Singles        , Knockout
 3:30 pm              , Division 5 Singles        , Groups Knockout
 5:30 pm              , Presentation Ceremony     ,

"Sunday, 9 May 2021", Event                       , Scores
 8:30 am            , Open Singles                , Groups Knockout
11:00 am            , Division 1 Singles          , Knockout
 2:00 pm            , Division 2 Singles          , Groups Knockout
 5:00 pm            , Presentation Ceremony       ,
